id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
5832,-118.32,34.2,36,2110,346,984,342,7.2909,345600,<1H OCEAN
5833,-118.32,34.2,36,759,136,372,135,5.2886,329200,<1H OCEAN
5834,-118.32,34.2,36,1978,337,834,311,4.2866,294700,<1H OCEAN
5835,-118.33,34.2,43,1325,254,613,248,3.9071,289300,<1H OCEAN
5836,-118.33,34.2,43,2322,418,1106,433,4.6631,284900,<1H OCEAN
5837,-118.34,34.2,41,2860,682,1516,621,3.3431,263200,<1H OCEAN
5838,-118.34,34.19,41,1524,393,1176,375,3.175,192700,<1H OCEAN
5839,-118.36,34.2,14,1878,614,1874,559,2.8267,232100,<1H OCEAN
5840,-118.32,34.2,29,2209,444,952,403,4.675,341500,<1H OCEAN
5841,-118.32,34.19,37,1335,249,485,240,4.4731,352400,<1H OCEAN
5842,-118.32,34.19,37,1519,331,613,315,3.3179,272800,<1H OCEAN
5843,-118.31,34.19,42,724,149,420,150,3.3625,362000,<1H OCEAN
5844,-118.32,34.19,37,589,119,375,122,3.6897,223000,<1H OCEAN
5845,-118.33,34.2,23,7179,1985,4757,1924,3.4051,206800,<1H OCEAN
5846,-118.3,34.18,13,7174,1997,4293,1872,3.3973,252200,<1H OCEAN
5847,-118.3,34.17,37,350,115,342,111,3.3687,200300,<1H OCEAN
5848,-118.3,34.18,5,5492,1549,2997,1405,3.6205,172400,<1H OCEAN
5849,-118.31,34.18,11,3112,890,1700,851,3.4587,181600,<1H OCEAN
5850,-118.31,34.19,13,3801,1116,1986,1078,2.3875,223000,<1H OCEAN
5851,-118.32,34.18,49,192,41,83,38,3.3179,119100,<1H OCEAN
5852,-118.32,34.18,44,1594,389,832,340,3.7,212400,<1H OCEAN
5853,-118.32,34.17,39,1995,564,1202,544,3.8875,250300,<1H OCEAN
5854,-118.32,34.17,47,2589,465,1284,485,5.4008,247400,<1H OCEAN
5855,-118.33,34.17,48,2584,483,1118,459,4.5396,245400,<1H OCEAN
5856,-118.33,34.19,46,2115,463,1133,439,4.0344,222300,<1H OCEAN
5857,-118.33,34.18,45,2570,517,1256,510,4.9898,226300,<1H OCEAN
5858,-118.33,34.19,45,1505,347,799,319,3.438,217300,<1H OCEAN
5859,-118.34,34.19,48,814,165,490,176,3.4406,223400,<1H OCEAN
5860,-118.33,34.18,45,1552,315,785,316,4.0411,235800,<1H OCEAN
5861,-118.33,34.18,49,1969,377,977,367,4.1462,231600,<1H OCEAN
5862,-118.33,34.18,48,2122,385,926,362,5.9975,231700,<1H OCEAN
5863,-118.34,34.19,43,1029,252,613,255,2.9827,220200,<1H OCEAN
5864,-118.34,34.19,47,1721,343,834,334,4.4923,231500,<1H OCEAN
5865,-118.34,34.18,45,3046,633,1448,599,3.54,227200,<1H OCEAN
5866,-118.34,34.18,46,1393,301,714,295,3.1125,230200,<1H OCEAN
5867,-118.35,34.19,45,903,190,557,204,4.3313,209400,<1H OCEAN
5868,-118.36,34.19,46,1676,322,846,295,5.4814,209800,<1H OCEAN
5869,-118.35,34.18,46,2711,491,1277,490,4.582,225000,<1H OCEAN
5870,-118.35,34.18,46,1840,379,866,360,3.6056,230700,<1H OCEAN
5871,-118.35,34.17,44,2572,613,1280,570,3.8583,232300,<1H OCEAN
5872,-118.35,34.17,47,858,170,365,171,2.3385,225300,<1H OCEAN
5873,-118.35,34.17,42,1604,326,814,329,4.7408,216300,<1H OCEAN
5874,-118.36,34.17,46,1268,240,661,239,4.3742,229400,<1H OCEAN
5875,-118.34,34.18,45,1328,290,720,289,4.175,227200,<1H OCEAN
5876,-118.34,34.18,45,3566,701,1601,653,4.1668,232300,<1H OCEAN
5877,-118.34,34.17,49,3033,580,1284,561,4.4161,232800,<1H OCEAN
5878,-118.35,34.16,42,2267,478,1083,458,3.5015,250300,<1H OCEAN
5879,-118.35,34.16,45,1390,281,538,270,4.5212,294100,<1H OCEAN
5880,-118.35,34.16,49,1305,228,584,255,5.936,268200,<1H OCEAN
5881,-118.33,34.17,44,1934,375,750,365,2.773,252100,<1H OCEAN
5882,-118.33,34.16,37,2381,575,1235,499,4.0941,248100,<1H OCEAN
5883,-118.34,34.17,46,1718,344,756,343,3.5125,247300,<1H OCEAN
5884,-118.34,34.17,52,1133,212,545,222,5.175,249800,<1H OCEAN
5885,-118.34,34.16,44,1717,391,848,353,3.9111,254800,<1H OCEAN
5886,-118.34,34.16,46,1396,294,608,246,3.992,244800,<1H OCEAN
5887,-118.33,34.16,44,2705,649,1676,654,3.7286,248200,<1H OCEAN
5888,-118.33,34.15,39,493,168,259,138,2.6667,17800,<1H OCEAN
5889,-118.33,34.15,44,1321,303,471,301,4.5679,332100,<1H OCEAN
5890,-118.34,34.15,40,3068,756,1190,695,3.8637,497700,<1H OCEAN
5891,-118.34,34.15,16,1586,377,625,344,4.3893,450300,<1H OCEAN
5892,-118.34,34.16,25,6082,1763,2616,1644,3.9486,247200,<1H OCEAN
5893,-118.32,34.17,45,3448,690,1562,643,4.3648,259100,<1H OCEAN
5894,-118.31,34.16,38,2347,665,1317,547,3.5112,349600,<1H OCEAN
5895,-118.32,34.16,49,1074,170,403,208,6.5547,367000,<1H OCEAN
5896,-118.32,34.17,40,1868,356,799,403,3.2306,279600,<1H OCEAN
5897,-118.33,34.16,23,1359,428,770,380,3.7016,234900,<1H OCEAN
5898,-118.32,34.16,46,2345,453,1031,427,4.6173,278600,<1H OCEAN
5899,-118.3,34.17,16,1353,398,1211,357,3.4551,205300,<1H OCEAN
5900,-118.31,34.16,37,2144,446,860,435,4.2464,315300,<1H OCEAN
5901,-118.31,34.17,12,3188,931,2118,850,3.4823,218600,<1H OCEAN
5902,-118.31,34.17,24,2910,917,2522,873,2.7074,219700,<1H OCEAN
5903,-118.43,34.3,33,2443,498,1601,484,4.3223,146300,<1H OCEAN
5904,-118.43,34.3,37,1394,313,1111,327,3.9023,162100,<1H OCEAN
5905,-118.43,34.29,39,1769,410,1499,390,3.4212,153800,<1H OCEAN
5906,-118.42,34.29,34,1489,326,1389,313,3.7821,160600,<1H OCEAN
5907,-118.43,34.3,28,271,61,246,62,2.0062,164900,<1H OCEAN
5908,-118.44,34.29,35,2606,447,1555,404,4.9864,194100,<1H OCEAN
5909,-118.43,34.29,38,1704,347,1384,374,3.165,155800,<1H OCEAN
5910,-118.43,34.29,38,1237,298,1073,293,3.9726,154900,<1H OCEAN
5911,-118.43,34.29,50,1181,265,1196,269,3.5095,167300,<1H OCEAN
5912,-118.43,34.28,27,862,280,1243,267,2.6724,154500,<1H OCEAN
5913,-118.44,34.29,32,1260,382,1434,342,2.3286,123200,<1H OCEAN
5914,-118.44,34.29,30,1632,401,1357,401,3.4588,160400,<1H OCEAN
5915,-118.45,34.29,30,762,228,840,226,2.6375,154500,<1H OCEAN
5916,-118.44,34.28,32,527,146,582,143,2.0708,139100,<1H OCEAN
5917,-118.44,34.28,46,11,11,24,13,3.175,162800,<1H OCEAN
5918,-118.44,34.28,37,944,244,1107,235,2.2688,144400,<1H OCEAN
5919,-118.44,34.28,47,843,194,800,180,3.6687,152000,<1H OCEAN
5920,-118.44,34.28,38,1156,305,1359,289,2.8147,137400,<1H OCEAN
5921,-118.45,34.28,36,2602,638,2780,620,3.0155,150100,<1H OCEAN
5922,-117.71,34.15,17,17715,2370,7665,2312,8.2068,349400,INLAND
5923,-117.73,34.12,26,1279,163,412,157,6.4731,294100,INLAND
5924,-117.78,34.13,18,7798,1161,3710,1227,6.1819,260800,INLAND
5925,-117.76,34.13,8,16759,2274,7249,2156,7.7837,359000,INLAND
5926,-117.8,34.15,14,7876,1253,3699,1162,5.8423,249000,INLAND
5927,-117.8,34.11,25,5039,821,2654,802,5.0969,212000,INLAND
5928,-117.8,34.1,17,5153,1164,2949,1083,3.8603,174900,INLAND
5929,-117.8,34.1,13,2996,495,1187,464,6.5456,162000,INLAND
5930,-117.79,34.12,16,2426,426,1319,446,5.1125,224800,INLAND
5931,-117.79,34.11,18,3814,721,1881,692,4.7722,215900,INLAND
5932,-117.83,34.14,26,8254,1153,3460,1131,6.8253,350200,INLAND
5933,-117.83,34.15,20,2421,306,1023,298,8.3683,451800,INLAND
5934,-117.82,34.13,27,3770,573,1606,562,6.4321,310000,INLAND
5935,-117.84,34.13,26,3773,694,2103,688,4.9937,198300,INLAND
5936,-117.87,34.15,24,5745,735,2061,679,8.5827,451700,INLAND
5937,-117.93,34.15,14,9610,2005,4723,1907,4.3393,157100,INLAND
5938,-117.9,34.15,21,2056,461,1332,429,3.6942,213100,INLAND
5939,-117.9,34.14,29,2240,457,1187,407,4.1365,184500,<1H OCEAN
5940,-117.9,34.14,35,2259,505,1561,509,3.6043,155800,<1H OCEAN
5941,-117.91,34.14,42,2225,485,1544,464,2.5442,167000,INLAND
5942,-117.89,34.14,15,4644,967,2855,867,3.6654,222400,<1H OCEAN
5943,-117.88,34.14,23,2308,322,1001,317,7.8112,355800,INLAND
5944,-117.88,34.14,32,1764,365,924,329,4.175,187000,INLAND
5945,-117.88,34.13,33,3713,718,2106,720,4.3023,185800,<1H OCEAN
5946,-117.85,34.14,35,2899,429,1251,429,6.4049,297500,INLAND
5947,-117.85,34.14,35,1582,248,654,221,5.2091,275300,INLAND
5948,-117.86,34.14,33,2344,363,1098,359,6.5089,283700,INLAND
5949,-117.87,34.15,37,2655,415,1056,401,5.7224,269800,INLAND
5950,-117.86,34.14,36,3097,667,1484,634,3.4905,235600,INLAND
5951,-117.87,34.14,30,2495,586,1139,559,3.2375,209500,INLAND
5952,-117.85,34.13,31,1959,318,1021,303,4.6145,233300,INLAND
5953,-117.85,34.12,30,4367,1033,2524,954,3.3448,192400,INLAND
5954,-117.86,34.13,33,2383,428,1269,421,4.936,245800,INLAND
5955,-117.86,34.13,40,1304,280,607,256,2.888,209800,INLAND
5956,-117.86,34.13,29,630,145,378,148,3.7107,171100,INLAND
5957,-117.87,34.13,32,1741,373,872,333,3.7219,194800,<1H OCEAN
5958,-117.87,34.13,29,1677,413,873,400,3.42,194600,<1H OCEAN
5959,-117.82,34.12,26,3118,528,1546,545,5.57,209700,INLAND
5960,-117.84,34.12,25,3465,566,1722,536,5.1304,229200,INLAND
5961,-117.83,34.11,29,2671,437,1484,445,5.2844,203300,INLAND
5962,-117.84,34.11,17,3499,621,1911,621,5.1894,192000,INLAND
5963,-117.84,34.12,34,2026,345,1142,332,4.692,187900,INLAND
5964,-117.85,34.11,25,9255,1659,4944,1627,4.8708,223300,INLAND
5965,-117.81,34.08,13,18448,2474,7775,2397,8.0876,349200,INLAND
5966,-117.81,34.12,23,7063,1176,3100,1112,5.1229,192900,INLAND
5967,-117.81,34.11,21,3481,808,1866,746,3.9201,150700,INLAND
5968,-117.81,34.1,19,1935,399,1126,389,4.1929,144900,INLAND
5969,-117.83,34.1,18,11026,1978,5407,1923,4.375,231400,INLAND
5970,-117.76,34.1,28,4086,871,1973,853,2.921,202500,INLAND
5971,-117.78,34.09,32,2643,516,1862,478,4.0177,177500,INLAND
5972,-117.79,34.1,26,1664,344,1024,339,3.8192,190800,INLAND
5973,-117.76,34.12,16,9020,1509,3575,1486,4.5415,276000,INLAND
5974,-117.77,34.12,15,4260,770,2007,695,4.7609,230300,INLAND
5975,-117.76,34.11,22,4935,954,2874,938,4.2825,180800,INLAND
5976,-117.77,34.1,50,2388,494,1241,459,3.1818,167500,INLAND
5977,-117.77,34.11,28,1998,414,1124,389,4.05,181200,INLAND
5978,-117.78,34.11,23,7079,1381,3205,1327,3.3735,212600,INLAND
5979,-117.74,34.11,28,3494,566,1391,522,5.6637,215000,INLAND
5980,-117.75,34.12,25,5411,998,2243,1019,4.6148,241000,INLAND
5981,-117.74,34.1,26,2723,604,1847,498,2.9779,136300,INLAND
5982,-117.74,34.1,29,2742,488,2477,532,3.8072,122200,INLAND
5983,-117.75,34.1,21,8069,2174,4369,2036,3.5756,157100,INLAND
5984,-117.71,34.12,20,11250,1893,4952,1859,5.9785,239800,INLAND
5985,-117.73,34.12,26,6459,894,2487,885,6.5089,262100,INLAND
5986,-117.71,34.1,41,555,130,1492,123,2.5813,125300,INLAND
5987,-117.71,34.1,52,567,152,2688,126,2.175,212800,INLAND
5988,-117.72,34.1,52,2867,496,978,513,3.4477,291500,INLAND
5989,-117.72,34.1,32,3241,895,1592,810,2.7952,182100,INLAND
5990,-117.72,34.1,46,2477,458,1034,455,5.8,290000,INLAND
5991,-117.73,34.1,37,3457,,1344,530,6.1891,226300,INLAND
5992,-117.71,34.09,36,2637,476,1385,483,4.4739,159000,INLAND
5993,-117.71,34.08,26,2744,494,1411,465,4.5639,154500,INLAND
5994,-117.72,34.09,36,1473,328,785,299,3.5566,152100,INLAND
5995,-117.72,34.09,33,4979,934,2575,874,4.0958,152800,INLAND
5996,-117.73,34.09,30,2345,496,1897,454,2.7375,112400,INLAND
5997,-117.73,34.09,36,1543,297,1355,303,3.8313,118100,INLAND
5998,-117.73,34.08,33,1350,265,1251,257,3.2063,115500,INLAND
5999,-117.74,34.09,30,3199,591,2192,563,3.7871,136700,INLAND
6000,-117.75,34.08,33,2824,523,1797,493,3.9359,135400,INLAND
6001,-117.75,34.08,33,1067,194,600,201,4.3368,139400,INLAND
6002,-117.75,34.09,36,3094,556,1672,545,4.5143,147200,INLAND
6003,-117.76,34.08,37,2263,502,1677,522,3.2388,139500,INLAND
6004,-117.77,34.08,27,5929,932,2817,828,6.3434,215100,INLAND
6005,-117.77,34.07,36,2922,652,2392,629,3.1661,124300,INLAND
6006,-117.77,34.07,29,2976,662,2452,633,3.3638,113900,INLAND
6007,-117.75,34.07,52,1548,348,1131,343,2.93,127600,INLAND
6008,-117.76,34.07,51,1538,394,1173,388,2.6156,110100,INLAND
6009,-117.76,34.07,48,1157,247,677,218,3.1594,127500,INLAND
6010,-117.76,34.06,33,1831,486,1625,472,2.2937,103900,INLAND
6011,-117.76,34.06,47,508,108,384,86,2.2583,92900,INLAND
6012,-117.77,34.06,27,2178,629,2379,591,2.2766,108300,INLAND
6013,-117.78,34.07,18,3610,772,2899,765,4.2784,113800,INLAND
6014,-117.78,34.06,25,1712,491,1807,478,2.5258,115100,INLAND
6015,-117.79,34.07,33,1694,333,1689,301,4.0583,116600,INLAND
6016,-117.79,34.07,34,975,192,870,183,4.0933,116400,INLAND
6017,-117.78,34.06,33,1056,272,964,300,2.7464,129000,INLAND
6018,-117.78,34.05,39,2933,590,1886,550,4.2224,131600,INLAND
6019,-117.8,34.05,5,4536,1178,2485,909,4.4118,126200,<1H OCEAN
6020,-117.8,34.06,34,1081,205,1325,252,3.9298,108800,INLAND
6021,-117.82,34.05,21,4031,923,2558,834,3.4641,117600,<1H OCEAN
6022,-117.76,34.06,30,1700,504,1719,459,2.527,92200,INLAND
6023,-117.76,34.05,36,2910,819,3055,782,2.2029,98300,INLAND
6024,-117.75,34.05,35,1293,339,1494,312,1.9645,93600,INLAND
6025,-117.76,34.05,36,3839,1004,4711,942,2.6859,116500,INLAND
6026,-117.74,34.08,35,1613,298,911,293,3.7398,134600,INLAND
6027,-117.74,34.07,42,2504,553,1550,509,3.3294,136000,INLAND
6028,-117.74,34.06,48,2438,599,1508,548,3.1983,129500,INLAND
6029,-117.74,34.07,52,1868,316,947,328,4.5415,140400,INLAND
6030,-117.75,34.07,52,1279,213,444,204,5.5269,161300,INLAND
6031,-117.75,34.07,52,2550,586,1246,576,1.9006,146500,INLAND
6032,-117.72,34.08,34,2742,491,1761,496,3.5481,129100,INLAND
6033,-117.72,34.07,33,4100,740,2580,730,4.0321,134500,INLAND
6034,-117.73,34.08,28,5173,1069,3502,954,4.1438,131100,INLAND
6035,-117.73,34.07,34,4038,725,2716,759,4.4339,135300,INLAND
6036,-117.72,34.06,32,2209,654,1718,569,2.2643,113500,INLAND
6037,-117.73,34.06,34,344,108,315,119,3.4786,118100,INLAND
6038,-117.73,34.06,51,498,115,368,112,1.7063,99100,INLAND
6039,-117.73,34.07,33,1921,489,1430,467,2.6406,122900,INLAND
6040,-117.73,34.07,33,1025,261,854,269,2.5596,119700,INLAND
6041,-117.73,34.05,36,975,243,809,233,3.1929,118400,INLAND
6042,-117.73,34.05,28,2758,771,2877,694,2.3734,113600,INLAND
6043,-117.74,34.05,30,1185,317,1466,302,2.925,94600,INLAND
6044,-117.74,34.05,29,2452,700,3029,665,2.4354,111000,INLAND
6045,-117.74,34.05,27,852,237,1024,221,2.4141,111200,INLAND
6046,-117.75,34.05,46,1480,358,1511,348,2.2718,110900,INLAND
6047,-117.73,34.04,26,3827,814,3367,810,3.45,130000,INLAND
6048,-117.73,34.03,42,1967,378,1459,348,3.3375,118400,INLAND
6049,-117.74,34.02,33,2318,464,1904,451,4.0454,116700,INLAND
6050,-117.74,34.04,27,2215,440,1987,449,3.3429,129900,INLAND
6051,-117.74,34.03,27,3623,809,3712,754,3.7609,123600,INLAND
6052,-117.75,34.04,22,2948,636,2600,602,3.425,113900,INLAND
6053,-117.76,34.04,34,1914,,1564,328,3.1347,116100,INLAND
6054,-117.76,34.04,36,2242,448,2052,447,3.7464,113300,INLAND
6055,-117.85,34,26,2712,402,1389,377,5.9513,228200,<1H OCEAN
6056,-117.86,33.99,10,17820,2812,8686,2666,6.6875,311000,<1H OCEAN
6057,-117.8,34.03,25,4240,643,1885,637,6.5384,247900,<1H OCEAN
6058,-117.78,34.03,8,32054,5290,15507,5050,6.3191,254200,<1H OCEAN
6059,-117.83,34.01,16,9446,1650,4911,1534,5.3111,213200,<1H OCEAN
6060,-117.8,34.02,23,3351,591,1535,522,5.3869,230900,<1H OCEAN
6061,-117.81,34.01,12,9197,1642,4332,1554,5.2589,282400,<1H OCEAN
6062,-117.79,34.02,5,18690,2862,9427,2777,6.7266,315900,<1H OCEAN
6063,-117.84,34,26,797,117,383,114,7.1758,254100,<1H OCEAN
6064,-117.83,33.99,14,17527,2751,8380,2676,6.5734,267300,<1H OCEAN
6065,-117.84,33.98,26,3638,557,1993,593,6.4076,221500,<1H OCEAN
6066,-117.83,33.97,11,21533,3078,9671,2890,7.3329,368600,<1H OCEAN
6067,-117.87,34.04,7,27700,4179,15037,4072,6.9288,340000,<1H OCEAN
6068,-117.86,34.02,19,6300,937,3671,943,6.2716,262400,<1H OCEAN
6069,-117.86,34.01,16,4632,,3038,727,5.4762,264700,<1H OCEAN
6070,-117.87,34.02,16,3552,575,2120,573,6.7333,271800,<1H OCEAN
6071,-117.84,34.04,4,9959,1544,4904,1429,7.2754,402800,<1H OCEAN
6072,-117.85,34.06,24,3128,497,1406,472,7.8286,463000,<1H OCEAN
6073,-117.85,34.08,23,1160,166,467,178,8.405,386500,<1H OCEAN
6074,-117.85,34.07,32,761,101,295,95,11.4077,500301,<1H OCEAN
6075,-117.86,34.08,31,2524,349,1003,343,7.8196,381200,<1H OCEAN
6076,-117.87,34.08,33,4518,716,2037,764,5.9015,267500,<1H OCEAN
6077,-117.87,34.07,21,4723,882,2210,768,4.1167,259000,<1H OCEAN
6078,-117.85,34.1,22,5179,944,2315,884,4.81,190200,<1H OCEAN
6079,-117.86,34.09,29,3855,585,2205,609,5.8496,218500,<1H OCEAN
6080,-117.85,34.09,16,4556,639,2066,651,6.7667,264200,<1H OCEAN
6081,-117.86,34.09,26,3408,542,1664,543,6.4498,239400,<1H OCEAN
6082,-117.87,34.1,25,2208,477,1084,424,4.075,192000,<1H OCEAN
6083,-117.87,34.09,31,1484,327,927,317,3.9484,189900,<1H OCEAN
6084,-117.88,34.1,32,3357,621,1696,604,4.5685,216900,<1H OCEAN
6085,-117.89,34.09,36,1811,320,1005,332,5.8629,188600,<1H OCEAN
6086,-117.87,34.09,36,1267,191,640,200,5.5405,220300,<1H OCEAN
6087,-117.87,34.08,33,3630,800,2257,796,3.5469,207200,<1H OCEAN
6088,-117.88,34.09,29,3416,790,2223,728,3.8109,186300,<1H OCEAN
6089,-117.86,34.1,23,2535,490,1327,466,3.8977,180900,<1H OCEAN
6090,-117.86,34.1,29,1185,197,588,196,5.3832,197200,<1H OCEAN
6091,-117.87,34.1,15,6409,1363,3359,1267,4.175,173600,<1H OCEAN
6092,-117.84,34.1,17,7836,1624,4419,1526,4.1465,181000,<1H OCEAN
6093,-117.85,34.11,27,1748,403,985,416,3.4133,180900,INLAND
6094,-117.87,34.12,33,2059,361,1073,339,4.5454,184100,<1H OCEAN
6095,-117.88,34.12,33,1485,274,1006,258,5.4708,158800,<1H OCEAN
6096,-117.88,34.12,34,912,165,522,150,4.3417,178300,<1H OCEAN
6097,-117.87,34.12,34,1004,220,772,217,4.1571,174800,<1H OCEAN
6098,-117.87,34.11,23,4066,819,2105,737,4.9556,199900,<1H OCEAN
6099,-117.87,34.11,34,1324,211,799,228,4.8234,192500,<1H OCEAN
6100,-117.88,34.11,30,3082,602,2008,619,4.4411,183000,<1H OCEAN
6101,-117.89,34.12,35,1470,241,885,246,5.2239,169100,<1H OCEAN
6102,-117.88,34.12,35,1574,276,1088,289,4.3938,165600,<1H OCEAN
6103,-117.89,34.11,36,806,147,446,153,4.8221,151600,<1H OCEAN
6104,-117.88,34.11,18,2923,670,1751,656,3.5383,157300,<1H OCEAN
6105,-117.89,34.12,35,1447,272,1224,268,4.2934,142200,<1H OCEAN
6106,-117.89,34.12,35,1566,321,1396,317,4.35,141600,<1H OCEAN
6107,-117.89,34.11,27,2434,535,1623,498,3.9875,140500,<1H OCEAN
6108,-117.9,34.11,37,1286,255,1047,249,4.5019,140400,<1H OCEAN
6109,-117.88,34.13,25,2559,654,1674,623,3.1547,155900,<1H OCEAN
6110,-117.88,34.12,36,2029,351,1327,364,4.4836,164600,<1H OCEAN
6111,-117.89,34.13,34,2159,386,1443,385,4.4995,147700,<1H OCEAN
6112,-117.9,34.13,25,3076,856,2868,752,2.9619,117900,<1H OCEAN
6113,-117.9,34.13,32,1640,391,1312,358,2.9292,136400,<1H OCEAN
6114,-117.9,34.13,5,1126,316,819,311,1.8,140100,<1H OCEAN
6115,-117.9,34.13,37,1801,422,1564,425,3.4597,133300,<1H OCEAN
6116,-117.9,34.12,33,1788,456,1787,361,2.9629,124400,<1H OCEAN
6117,-117.9,34.12,33,1555,361,1571,386,4.3529,138500,<1H OCEAN
6118,-117.9,34.12,35,957,194,804,221,3.6322,151700,<1H OCEAN
6119,-117.91,34.13,34,1540,328,1037,317,2.5132,138800,<1H OCEAN
6120,-117.92,34.13,42,1762,398,1526,365,3.1643,132900,INLAND
6121,-117.91,34.12,41,2673,578,2259,592,4.0846,145800,<1H OCEAN
6122,-117.91,34.12,33,1391,309,1038,298,4.4944,149800,<1H OCEAN
6123,-117.92,34.12,32,2552,576,2161,548,3.2459,144700,<1H OCEAN
6124,-117.93,34.12,36,294,67,266,80,3.8385,134700,INLAND
6125,-117.9,34.11,23,4776,1316,4797,1187,2.4667,142900,<1H OCEAN
6126,-117.91,34.11,20,3158,684,2396,713,3.825,153300,<1H OCEAN
6127,-117.92,34.11,24,2838,695,2151,645,3.5202,126500,<1H OCEAN
6128,-117.94,34.1,31,1239,254,929,244,3.6625,153700,<1H OCEAN
6129,-117.97,34.11,18,123,28,121,26,3.3417,137800,INLAND
6130,-117.99,34.08,11,2399,527,2307,531,3.8625,141300,INLAND
6131,-117.99,34.07,31,1507,369,1548,347,3.7327,147500,INLAND
6132,-117.98,34.07,15,3543,888,3131,823,3.3184,139700,INLAND
6133,-117.98,34.07,28,441,106,504,108,3.2107,152800,INLAND
6134,-117.99,34.06,32,2491,616,2660,595,2.864,146100,INLAND
6135,-118,34.07,34,1696,456,1609,426,2.55,138800,INLAND
6136,-117.99,34.07,35,1681,360,1648,373,2.7911,146200,INLAND
6137,-117.99,34.08,35,1032,207,954,191,3.1906,135100,INLAND
6138,-117.97,34.08,8,2027,480,1781,447,3.3806,142700,INLAND
6139,-117.97,34.08,30,2227,474,1961,481,3.6261,164400,INLAND
6140,-117.96,34.07,32,2910,709,2583,670,4.0736,158700,<1H OCEAN
6141,-117.97,34.07,20,2063,496,1573,468,3.5,157400,<1H OCEAN
6142,-117.97,34.07,22,1438,364,1325,335,3.0802,162800,<1H OCEAN
6143,-117.98,34.08,17,3640,830,3537,807,3.7784,152500,INLAND
6144,-117.98,34.1,22,5661,1209,5389,1178,4.0727,160000,INLAND
6145,-117.98,34.09,31,3073,617,2640,594,3.8,161600,INLAND
6146,-117.97,34.09,27,3569,761,3339,762,4.4304,160800,INLAND
6147,-117.95,34.11,29,1986,448,2013,432,3.4034,141100,INLAND
6148,-117.96,34.1,35,4036,904,3878,846,3.5957,141900,INLAND
6149,-117.97,34.1,33,1558,316,1600,338,3.2712,144200,INLAND
6150,-117.97,34.1,26,1399,277,1285,276,4.3,160400,INLAND
6151,-117.96,34.09,30,2686,613,2477,573,3.7427,161100,INLAND
6152,-117.96,34.09,6,1954,534,1584,496,3.4621,131300,INLAND
6153,-117.96,34.1,30,2775,657,2847,642,3.5266,142100,INLAND
6154,-117.97,34.09,31,2779,639,2259,670,3.7032,143700,INLAND
6155,-117.95,34.09,21,2215,484,1792,419,3.1375,166800,<1H OCEAN
6156,-117.95,34.08,34,2278,476,1728,448,3.425,154400,<1H OCEAN
6157,-117.95,34.09,18,1179,324,1296,331,3.151,140900,<1H OCEAN
6158,-117.96,34.08,39,1076,338,1242,332,2.5679,152100,<1H OCEAN
6159,-117.96,34.08,33,4151,850,3563,848,3.4912,160200,<1H OCEAN
6160,-117.96,34.08,28,2831,552,2330,557,4.2741,173400,<1H OCEAN
6161,-117.94,34.09,21,2707,675,1742,626,2.4062,177000,<1H OCEAN
6162,-117.94,34.08,32,2704,514,1669,497,4.7653,195700,<1H OCEAN
6163,-117.94,34.08,34,1970,476,1269,406,4.364,201500,<1H OCEAN
6164,-117.94,34.08,35,2393,417,1336,418,5.17,188000,<1H OCEAN
6165,-117.95,34.08,37,1137,203,672,226,3.5969,189300,<1H OCEAN
6166,-117.95,34.07,37,1987,399,1279,378,4.4172,176800,<1H OCEAN
6167,-117.93,34.09,34,2192,431,1376,428,4.2861,164200,<1H OCEAN
6168,-117.93,34.09,35,782,153,499,163,4.5062,161600,<1H OCEAN
6169,-117.93,34.09,35,1891,353,1093,382,4.3167,165800,<1H OCEAN
6170,-117.93,34.09,37,1185,225,769,235,4.7625,154500,<1H OCEAN
6171,-117.92,34.08,36,1285,228,679,231,4.1705,192200,<1H OCEAN
6172,-117.92,34.08,35,2108,408,1257,414,4.4312,185500,<1H OCEAN
6173,-117.93,34.07,34,1409,305,819,273,3.6977,189100,<1H OCEAN
6174,-117.93,34.08,36,1371,246,806,241,4.8078,187400,<1H OCEAN
6175,-117.93,34.08,35,689,128,379,128,4.2583,206300,<1H OCEAN
6176,-117.93,34.08,36,1597,285,901,272,4.6947,197300,<1H OCEAN
6177,-117.93,34.08,36,1788,317,1139,320,4.425,186100,<1H OCEAN
6178,-117.91,34.08,33,2325,452,1170,445,3.9625,217400,<1H OCEAN
6179,-117.91,34.08,35,1443,266,861,262,3.8795,187200,<1H OCEAN
6180,-117.92,34.08,36,1479,251,741,245,4.5986,189900,<1H OCEAN
6181,-117.92,34.08,35,1860,323,1011,305,3.8536,207300,<1H OCEAN
6182,-117.92,34.08,35,1897,311,965,323,6.0039,199700,<1H OCEAN
6183,-117.91,34.1,28,3694,722,1999,718,3.5813,181400,<1H OCEAN
6184,-117.91,34.09,20,4327,1037,2296,963,3.3441,185700,<1H OCEAN
6185,-117.92,34.09,35,1810,318,1164,332,5.3123,166000,<1H OCEAN
6186,-117.92,34.1,33,1921,397,1492,393,4.675,150800,<1H OCEAN
6187,-117.9,34.1,31,3007,653,1766,616,4.0083,166300,<1H OCEAN
6188,-117.91,34.1,35,2746,478,1779,501,4.55,167000,<1H OCEAN
